"_messagetimems","_messagetime","_raw","cluster","_collector","container","deployment","environment","host","namespace","node","pod","provider","region","service","_size","_source","_sourcecategory","_sourcehost","_sourcename"
"1631728115877","09/15/2021 10:48:35.877 -0700","{""timestamp"":1631728115877,""log"":{""thread"":""queueSendingThread-ServerRepositoryMessageLog-8f2aa087-2d16-4a83-9f01-f0a6c9fbc5af"",""level"":""INFO"",""loggerName"":""com.automationanywhere.es_client.ESRestClient"",""message"":""Saved doc id: KR6T6nsBOMu24FEJIL51"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631728115,""nanoOfSecond"":834811000},""contextMap"":{""parentId"":""9cf0a42bd3911f9e"",""sampled"":""false"",""spanId"":""57910b6e363acc0d"",""traceId"":""9cf0a42bd3911f9e""},""threadId"":50,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T17:48:35.834934786Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-60-33.us-west-2.compute.internal","default","ip-10-19-60-33.us-west-2.compute.internal","lilywei-kernel-7d76978987-5mxjf","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","603","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","35.155.28.36","default_lilywei-kernel-7d76978987-5mxjf_kernel-kernel"
"1631728115834","09/15/2021 10:48:35.834 -0700","{""timestamp"":1631728115834,""log"":{""thread"":""queueSendingThread-ServerRepositoryMessageLog-8f2aa087-2d16-4a83-9f01-f0a6c9fbc5af"",""level"":""INFO"",""loggerName"":""com.automationanywhere.es_client.ESRestClient"",""message"":""Saved doc id: SX-T6nsBxKrEhaEoIBxh"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631728115,""nanoOfSecond"":816884000},""contextMap"":{""parentId"":""9cf0a42bd3911f9e"",""sampled"":""false"",""spanId"":""d3675842b1480943"",""traceId"":""9cf0a42bd3911f9e""},""threadId"":50,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T17:48:35.816997964Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-60-33.us-west-2.compute.internal","default","ip-10-19-60-33.us-west-2.compute.internal","lilywei-kernel-7d76978987-5mxjf","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","603","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","35.155.28.36","default_lilywei-kernel-7d76978987-5mxjf_kernel-kernel"
"1631728115798","09/15/2021 10:48:35.798 -0700","{""timestamp"":1631728115798,""log"":{""thread"":""cr-jetty-350"",""level"":""INFO"",""loggerName"":""com.automationanywhere.serverrepository.core.service.impl.FileServiceV2Impl"",""message"":""Done deleting files from git"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631728115,""nanoOfSecond"":796043000},""contextMap"":{""defaultTenant"":""true"",""sampled"":""true"",""spanId"":""9cf0a42bd3911f9e"",""tenantUuid"":""ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399"",""traceId"":""9cf0a42bd3911f9e""},""threadId"":350,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T17:48:35.796176399Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-60-33.us-west-2.compute.internal","default","ip-10-19-60-33.us-west-2.compute.internal","lilywei-kernel-7d76978987-5mxjf","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","602","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","35.155.28.36","default_lilywei-kernel-7d76978987-5mxjf_kernel-kernel"
"1631728115764","09/15/2021 10:48:35.764 -0700","{""timestamp"":1631728115764,""log"":{""thread"":""queueSendingThread-ServerRepositoryMessageLog-8f2aa087-2d16-4a83-9f01-f0a6c9fbc5af"",""level"":""INFO"",""loggerName"":""com.automationanywhere.es_client.ESRestClient"",""message"":""Saved doc id: OX-T6nsBxKrEhaEoHhzy"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631728115,""nanoOfSecond"":448815000},""contextMap"":{""parentId"":""9cf0a42bd3911f9e"",""sampled"":""false"",""spanId"":""40254b47f2438602"",""traceId"":""9cf0a42bd3911f9e""},""threadId"":50,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T17:48:35.449021727Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-60-33.us-west-2.compute.internal","default","ip-10-19-60-33.us-west-2.compute.internal","lilywei-kernel-7d76978987-5mxjf","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","603","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","35.155.28.36","default_lilywei-kernel-7d76978987-5mxjf_kernel-kernel"
"1631728108906","09/15/2021 10:48:28.906 -0700","{""timestamp"":1631728108906,""log"":{""thread"":""cr-jetty-350"",""level"":""INFO"",""loggerName"":""com.automationanywhere.serverrepository.core.util.FileTypeUtils"",""message"":""Time spent before exit in commit 6 milliseconds"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631728107,""nanoOfSecond"":122944000},""contextMap"":{""defaultTenant"":""true"",""sampled"":""true"",""spanId"":""9cf0a42bd3911f9e"",""tenantUuid"":""ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399"",""traceId"":""9cf0a42bd3911f9e""},""threadId"":350,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T17:48:27.123114174Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-60-33.us-west-2.compute.internal","default","ip-10-19-60-33.us-west-2.compute.internal","lilywei-kernel-7d76978987-5mxjf","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","609","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","44.235.187.138","default_lilywei-kernel-7d76978987-5mxjf_kernel-kernel"
"1631728107123","09/15/2021 10:48:27.123 -0700","{""timestamp"":1631728107123,""log"":{""thread"":""cr-jetty-350"",""level"":""INFO"",""loggerName"":""com.automationanywhere.serverrepository.core.util.FileTypeUtils"",""message"":""Time spent on getCommitedFiles in commit 88 milliseconds"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631728107,""nanoOfSecond"":116572000},""contextMap"":{""defaultTenant"":""true"",""sampled"":""true"",""spanId"":""9cf0a42bd3911f9e"",""tenantUuid"":""ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399"",""traceId"":""9cf0a42bd3911f9e""},""threadId"":350,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T17:48:27.116737707Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-60-33.us-west-2.compute.internal","default","ip-10-19-60-33.us-west-2.compute.internal","lilywei-kernel-7d76978987-5mxjf","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","618","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","44.235.187.138","default_lilywei-kernel-7d76978987-5mxjf_kernel-kernel"
"1631728107116","09/15/2021 10:48:27.116 -0700","{""timestamp"":1631728107116,""log"":{""thread"":""cr-jetty-350"",""level"":""INFO"",""loggerName"":""com.automationanywhere.serverrepository.cr.service.impl.GitAdapterServiceImpl"",""message"":""Ending getCommitedFiles call, committed:0 added:0 updated:0"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631728107,""nanoOfSecond"":116432000},""contextMap"":{""defaultTenant"":""true"",""sampled"":""true"",""spanId"":""9cf0a42bd3911f9e"",""tenantUuid"":""ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399"",""traceId"":""9cf0a42bd3911f9e""},""threadId"":350,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T17:48:27.116663568Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-60-33.us-west-2.compute.internal","default","ip-10-19-60-33.us-west-2.compute.internal","lilywei-kernel-7d76978987-5mxjf","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","635","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","44.235.187.138","default_lilywei-kernel-7d76978987-5mxjf_kernel-kernel"
"1631728107116","09/15/2021 10:48:27.116 -0700","{""timestamp"":1631728107116,""log"":{""thread"":""cr-jetty-350"",""level"":""INFO"",""loggerName"":""com.automationanywhere.serverrepository.cr.service.impl.GitAdapterServiceImpl"",""message"":""Starting getCommitedFiles call"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631728107,""nanoOfSecond"":28951000},""contextMap"":{""defaultTenant"":""true"",""sampled"":""true"",""spanId"":""9cf0a42bd3911f9e"",""tenantUuid"":""ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399"",""traceId"":""9cf0a42bd3911f9e""},""threadId"":350,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T17:48:27.02906198Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-60-33.us-west-2.compute.internal","default","ip-10-19-60-33.us-west-2.compute.internal","lilywei-kernel-7d76978987-5mxjf","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","604","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","44.235.187.138","default_lilywei-kernel-7d76978987-5mxjf_kernel-kernel"
"1631728107029","09/15/2021 10:48:27.029 -0700","{""timestamp"":1631728107029,""log"":{""thread"":""cr-jetty-350"",""level"":""INFO"",""loggerName"":""com.automationanywhere.serverrepository.core.util.FileTypeUtils"",""message"":""Time spent on git.commit command in commit 703 milliseconds"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631728107,""nanoOfSecond"":28803000},""contextMap"":{""defaultTenant"":""true"",""sampled"":""true"",""spanId"":""9cf0a42bd3911f9e"",""tenantUuid"":""ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399"",""traceId"":""9cf0a42bd3911f9e""},""threadId"":350,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T17:48:27.029022475Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-60-33.us-west-2.compute.internal","default","ip-10-19-60-33.us-west-2.compute.internal","lilywei-kernel-7d76978987-5mxjf","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","620","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","44.235.187.138","default_lilywei-kernel-7d76978987-5mxjf_kernel-kernel"
"1631728106479","09/15/2021 10:48:26.479 -0700","{""timestamp"":1631728106479,""log"":{""thread"":""cr-jetty-350"",""level"":""INFO"",""loggerName"":""com.automationanywhere.serverrepository.cr.service.impl.GitAdapterServiceImpl"",""message"":""In commit before commit call"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631728106,""nanoOfSecond"":363554000},""contextMap"":{""defaultTenant"":""true"",""sampled"":""true"",""spanId"":""9cf0a42bd3911f9e"",""tenantUuid"":""ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399"",""traceId"":""9cf0a42bd3911f9e""},""threadId"":350,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T17:48:26.363743327Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-60-33.us-west-2.compute.internal","default","ip-10-19-60-33.us-west-2.compute.internal","lilywei-kernel-7d76978987-5mxjf","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","604","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","44.235.187.138","default_lilywei-kernel-7d76978987-5mxjf_kernel-kernel"
"1631728106363","09/15/2021 10:48:26.363 -0700","{""timestamp"":1631728106363,""log"":{""thread"":""cr-jetty-350"",""level"":""INFO"",""loggerName"":""com.automationanywhere.serverrepository.core.util.FileTypeUtils"",""message"":""Time spent on add/rm command in commit 6751 milliseconds"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631728106,""nanoOfSecond"":325077000},""contextMap"":{""defaultTenant"":""true"",""sampled"":""true"",""spanId"":""9cf0a42bd3911f9e"",""tenantUuid"":""ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399"",""traceId"":""9cf0a42bd3911f9e""},""threadId"":350,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T17:48:26.325281407Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-60-33.us-west-2.compute.internal","default","ip-10-19-60-33.us-west-2.compute.internal","lilywei-kernel-7d76978987-5mxjf","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","618","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","44.235.187.138","default_lilywei-kernel-7d76978987-5mxjf_kernel-kernel"
"1631728106325","09/15/2021 10:48:26.325 -0700","{""timestamp"":1631728106325,""log"":{""thread"":""cr-jetty-350"",""level"":""INFO"",""loggerName"":""com.automationanywhere.serverrepository.cr.service.impl.GitAdapterServiceImpl"",""message"":""In commit before rm call"",""endOfBatch"":false,""loggerFqcn"":""org.apache.logging.log4j.spi.AbstractLogger"",""instant"":{""epochSecond"":1631728106,""nanoOfSecond"":138306000},""contextMap"":{""defaultTenant"":""true"",""sampled"":""true"",""spanId"":""9cf0a42bd3911f9e"",""tenantUuid"":""ae7bdaec-ac23-61bb-1bf6-86b0d2e5c399"",""traceId"":""9cf0a42bd3911f9e""},""threadId"":350,""threadPriority"":5},""stream"":""stdout"",""time"":""2021-09-15T17:48:26.138440291Z""}","test-us-west-2-eks","aae-dev","kernel-kernel","lilywei-kernel","test","ip-10-19-60-33.us-west-2.compute.internal","default","ip-10-19-60-33.us-west-2.compute.internal","lilywei-kernel-7d76978987-5mxjf","aws","us-west-2","lilywei-kernel_lilywei-kernel-internal","600","logs","test/aws/us-west-2/k8s/default/lilywei-kernel","44.235.187.138","default_lilywei-kernel-7d76978987-5mxjf_kernel-kernel"
